province,x,y
Aceh,-460,118
Sumatra Utara,-414,73
Sumatra Barat,-380,3
Riau,-359,29
Jambi,-339,-13
Sumatra Selatan,-305,-60
Bengkulu,-351,-51
Lampung,-291,-88
Kepulauan Bangka Belitung,-251,-27
Kepulauan Riau,-248,68
Banten,-271,-122
DKI Jakarta,-254,-116
Jawa Barat,-234,-134
Jawa Tengah,-188,-140
Daerah Istimewa Yogyakarta,-179,-161
Jawa Timur,-131,-154
Bali,-77,-164
Nusa Tenggara Barat,-29,-170
Nusa Tenggara Timur,64,-178
Kalimantan Barat,-172,19
Kalimantan Selatan,-71,-45
Kalimantan Tengah,-116,-13
Kalimantan Timur,-50,24
Kalimantan Utara,-55,92
Gorontalo,66,37
Sulawesi Barat,9,-31
Sulawesi Selatan,23,-76
Sulawesi Tengah,53,-9
Sulawesi Tenggara,64,-69
Sulawesi Utara,113,41
Maluku,217,-82
Maluku Utara,189,28
Papua Barat,288,-8
Papua,399,-65
